,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,6,0,0,0,2020-01-30
1,Fujian,福建省,福建,84,0,0,0,2020-01-30
2,Liaoning,辽宁省,辽宁,39,0,1,0,2020-01-30
3,Sichuan,四川省,四川,108,0,1,1,2020-01-30
4,Jiangsu,江苏省,江苏,99,0,1,0,2020-01-30
5,Jiangxi,江西省,江西,109,0,3,0,2020-01-30
6,Shandong,山东省,山东,130,0,1,0,2020-01-30
7,Guangxi,广西壮族自治区,广西,58,0,2,0,2020-01-30
8,Ningxia,宁夏回族自治区,宁夏,12,0,0,0,2020-01-30
9,Macau,澳门,澳门,7,0,0,0,2020-01-30
10,Henan,河南省,河南,206,0,1,2,2020-01-30
11,Shanghai,上海市,上海,96,0,5,1,2020-01-30
12,Beijing,北京市,北京,111,0,4,1,2020-01-30
13,Anhui,安徽省,安徽,152,0,2,0,2020-01-30
14,Taiwan,台湾,台湾,8,0,0,0,2020-01-30
15,Xinjiang,新疆维吾尔自治区,新疆,13,0,0,0,2020-01-30
16,Hunan,湖南省,湖南,221,0,0,0,2020-01-30
17,Jilin,吉林省,吉林,9,0,0,0,2020-01-30
18,Gansu,甘肃省,甘肃,24,0,0,0,2020-01-30
19,Guizhou,贵州省,贵州,9,0,1,0,2020-01-30
20,Chongqing,重庆市,重庆,147,0,1,0,2020-01-30
21,Yunnan,云南省,云南,55,0,0,0,2020-01-30
22,Shaanxi,陕西省,陕西,56,0,0,0,2020-01-30
23,Hong Kong,香港,香港,10,0,0,0,2020-01-30
24,Zhejiang,浙江省,浙江,296,0,3,0,2020-01-30
25,Shanxi,山西省,山西,27,0,1,0,2020-01-30
26,Hubei,湖北省,湖北,3554,0,88,125,2020-01-30
27,Guangdong,广东省,广东,277,0,5,0,2020-01-30
28,Tianjin,天津市,天津,27,0,0,0,2020-01-30
29,Hainan,海南省,海南,43,0,0,1,2020-01-30
30,Hebei,河北省,河北,48,0,0,1,2020-01-30
31,Inner Mongolia,内蒙古自治区,内蒙古,16,0,0,0,2020-01-30
32,Heilongjiang,黑龙江省,黑龙江,38,0,0,1,2020-01-30
33,Tibet,西藏自治区,西藏,0,1,0,0,2020-01-30
