,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,1,0,0,0,2020-01-27
1,Fujian,福建省,福建,35,0,0,0,2020-01-27
2,Liaoning,辽宁省,辽宁,22,0,0,0,2020-01-27
3,Sichuan,四川省,四川,44,0,0,0,2020-01-27
4,Jiangsu,江苏省,江苏,33,0,1,0,2020-01-27
5,Jiangxi,江西省,江西,36,0,0,0,2020-01-27
6,Shandong,山东省,山东,46,0,0,0,2020-01-27
7,Guangxi,广西壮族自治区,广西,36,0,0,0,2020-01-27
8,Ningxia,宁夏回族自治区,宁夏,4,0,0,0,2020-01-27
9,Macau,澳门,澳门,5,0,0,0,2020-01-27
10,Henan,河南省,河南,83,0,0,1,2020-01-27
11,Shanghai,上海市,上海,40,0,1,1,2020-01-27
12,Beijing,北京市,北京,68,0,2,0,2020-01-27
13,Anhui,安徽省,安徽,60,0,0,0,2020-01-27
14,Taiwan,台湾,台湾,4,0,0,0,2020-01-27
15,Xinjiang,新疆维吾尔自治区,新疆,4,0,0,0,2020-01-27
16,Hunan,湖南省,湖南,69,0,0,0,2020-01-27
17,Jilin,吉林省,吉林,4,0,0,0,2020-01-27
18,Gansu,甘肃省,甘肃,7,0,0,0,2020-01-27
19,Guizhou,贵州省,贵州,5,0,0,0,2020-01-27
20,Chongqing,重庆市,重庆,75,0,0,0,2020-01-27
21,Yunnan,云南省,云南,16,0,0,0,2020-01-27
22,Shaanxi,陕西省,陕西,22,0,0,0,2020-01-27
23,Hong Kong,香港,香港,8,0,0,0,2020-01-27
24,Zhejiang,浙江省,浙江,104,0,1,0,2020-01-27
25,Shanxi,山西省,山西,9,0,0,0,2020-01-27
26,Hubei,湖北省,湖北,1058,0,42,52,2020-01-27
27,Guangdong,广东省,广东,111,0,2,0,2020-01-27
28,Tianjin,天津市,天津,14,0,0,0,2020-01-27
29,Hainan,海南省,海南,22,0,0,0,2020-01-27
30,Hebei,河北省,河北,13,0,0,1,2020-01-27
31,Inner Mongolia,内蒙古自治区,内蒙古,7,0,0,0,2020-01-27
32,Heilongjiang,黑龙江省,黑龙江,16,0,0,1,2020-01-27
