,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,cities,date
0,湖北省,湖北,2714,0,52,100,"[{'cityName': '武汉', 'confirmedCount': 1590, 'suspectedCount': 0, 'curedCount': 47, 'deadCount': 85}, {'cityName': '黄冈', 'confirmedCount': 213, 'suspectedCount': 0, 'curedCount': 2, 'deadCount': 4}, {'cityName': '孝感', 'confirmedCount': 173, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 1}, {'cityName': '荆门', 'confirmedCount': 114, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 3}, {'cityName': '咸宁', 'confirmedCount': 91, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '荆州', 'confirmedCount': 71, 'suspectedCount': 0, 'curedCount': 1, 'deadCount': 2}, {'cityName': '随州', 'confirmedCount': 70, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '襄阳', 'confirmedCount': 70, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '十堰', 'confirmedCount': 65, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '鄂州', 'confirmedCount': 57, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '黄石', 'confirmedCount': 53, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 1}, {'cityName': '宜昌', 'confirmedCount': 51, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 1}, {'cityName': '恩施州', 'confirmedCount': 38, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '仙桃', 'confirmedCount': 27, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '天门', 'confirmedCount': 23, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 2}, {'cityName': '潜江', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 1}, {'cityName': '神农架林区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
1,广东省,广东,207,0,4,0,"[{'cityName': '深圳', 'confirmedCount': 57, 'suspectedCount': 0, 'curedCount': 4, 'deadCount': 0}, {'cityName': '广州', 'confirmedCount': 51, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '佛山', 'confirmedCount': 18, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '珠海', 'confirmedCount': 12, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '惠州', 'confirmedCount': 11, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '阳江', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '湛江', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '东莞', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '中山', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '清远', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '汕头', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '韶关', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '肇庆', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '揭阳', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '梅州', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '汕尾', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '河源', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
2,浙江省,浙江,173,0,3,0,"[{'cityName': '温州', 'confirmedCount': 60, 'suspectedCount': 0, 'curedCount': 3, 'deadCount': 0}, {'cityName': '杭州', 'confirmedCount': 32, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '台州', 'confirmedCount': 22, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '宁波', 'confirmedCount': 17, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '嘉兴', 'confirmedCount': 11, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '绍兴', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '金华', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '衢州', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '丽水', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '舟山', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '湖州', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
3,河南省,河南,168,0,0,1,"[{'cityName': '郑州', 'confirmedCount': 37, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '信阳', 'confirmedCount': 29, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '南阳', 'confirmedCount': 26, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 1}, {'cityName': '周口', 'confirmedCount': 15, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '安阳', 'confirmedCount': 11, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '驻马店', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '漯河', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '商丘', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '新乡', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '平顶山', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '三门峡', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '洛阳', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '开封', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '鹤壁', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '许昌', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '焦作', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
4,湖南省,湖南,143,0,0,0,"[{'cityName': '长沙', 'confirmedCount': 24, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '常德', 'confirmedCount': 19, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '岳阳', 'confirmedCount': 17, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '怀化', 'confirmedCount': 16, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '邵阳', 'confirmedCount': 11, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '益阳', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '娄底', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '株洲', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '郴州', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '永州', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '衡阳', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '湘潭', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '湘西自治州', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
5,重庆市,重庆,132,0,0,0,"[{'cityName': '万州区', 'confirmedCount': 15, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '云阳县', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '开州区', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '忠县', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '两江新区', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '长寿区', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '大渡口区', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '渝北区', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '石柱县', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '九龙坡区', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '垫江县', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '巫山县', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '巫溪县', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '江北区', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '合川区', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '永川区', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '璧山区', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '丰都县', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '奉节县', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '江津区', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '綦江区', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '铜梁区', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '潼南区', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '涪陵区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '巴南区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '大足区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '梁平区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '城口县', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '秀山县', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '黔江区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '南岸区', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
6,安徽省,安徽,106,0,0,0,"[{'cityName': '阜阳', 'confirmedCount': 21, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '合肥', 'confirmedCount': 16, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '马鞍山', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '铜陵', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '芜湖', 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '亳州', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '安庆', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '六安', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '滁州', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '黄山', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '蚌埠', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '宿州', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '宣城', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '淮北', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '淮南', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '池州', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
7,山东省,山东,95,0,0,0,"[{'cityName': '青岛', 'confirmedCount': 15, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '威海', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '济南', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '烟台', 'confirmedCount': 10, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '临沂', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '德州', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '日照', 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '济宁', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '菏泽', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '枣庄', 'confirmedCount': 5, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '滨州', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '潍坊', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '聊城', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '淄博', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '泰安', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
8,北京市,北京,91,0,4,1,"[{'cityName': '海淀', 'confirmedCount': 21, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '朝阳', 'confirmedCount': 17, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '外地来京人员', 'confirmedCount': 11, 'suspectedCount': 0, 'curedCount': 2, 'deadCount': 0}, {'cityName': '西城', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '昌平', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '通州', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '丰台', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '大兴', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 2, 'deadCount': 0}, {'cityName': '石景山', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '顺义', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '东城', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
9,四川省,四川,90,0,0,0,"[{'cityName': '成都', 'confirmedCount': 37, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '绵阳', 'confirmedCount': 8, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '广安', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '自贡', 'confirmedCount': 7, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '泸州', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '南充', 'confirmedCount': 4, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '遂宁', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '达州', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '内江', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '甘孜州', 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '雅安', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '乐山', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '凉山', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '资阳', 'confirmedCount': 2, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '德阳', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '眉山', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}, {'cityName': '宜宾', 'confirmedCount': 1, 'suspectedCount': 0, 'curedCount': 0, 'deadCount': 0}]",2020-01-29
