,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,11,0,2020-02-14
1,Fujian,福建省,福建,281,0,59,0,2020-02-14
2,Liaoning,辽宁省,辽宁,117,0,24,1,2020-02-14
3,Sichuan,四川省,四川,463,0,105,1,2020-02-14
4,Jiangsu,江苏省,江苏,593,0,141,0,2020-02-14
5,Jiangxi,江西省,江西,900,0,187,1,2020-02-14
6,Shandong,山东省,山东,519,0,111,2,2020-02-14
7,Guangxi,广西壮族自治区,广西,226,0,35,2,2020-02-14
8,Ningxia,宁夏回族自治区,宁夏,67,0,24,0,2020-02-14
9,Macau,澳门,澳门,10,0,3,0,2020-02-14
10,Henan,河南省,河南,1184,0,330,11,2020-02-14
11,Shanghai,上海市,上海,318,0,90,1,2020-02-14
12,Beijing,北京市,北京,372,0,79,3,2020-02-14
13,Anhui,安徽省,安徽,934,0,179,6,2020-02-14
14,Taiwan,台湾,台湾,18,0,2,0,2020-02-14
15,Xinjiang,新疆维吾尔自治区,新疆,65,0,6,1,2020-02-14
16,Hunan,湖南省,湖南,988,0,352,2,2020-02-14
17,Jilin,吉林省,吉林,86,0,25,1,2020-02-14
18,Gansu,甘肃省,甘肃,90,0,39,2,2020-02-14
19,Guizhou,贵州省,贵州,140,0,28,1,2020-02-14
20,Chongqing,重庆市,重庆,529,0,128,4,2020-02-14
21,Yunnan,云南省,云南,162,0,27,0,2020-02-14
22,Shaanxi,陕西省,陕西,230,0,49,0,2020-02-14
23,Hong Kong,香港,香港,53,0,1,1,2020-02-14
24,Zhejiang,浙江省,浙江,1155,0,369,0,2020-02-14
25,Shanxi,山西省,山西,126,0,36,0,2020-02-14
26,Hubei,湖北省,湖北,51986,0,3862,1318,2020-02-14
27,Guangdong,广东省,广东,1261,0,340,2,2020-02-14
28,Tianjin,天津市,天津,119,0,21,3,2020-02-14
29,Hainan,海南省,海南,158,0,30,4,2020-02-14
30,Hebei,河北省,河北,283,0,72,3,2020-02-14
31,Inner Mongolia,内蒙古自治区,内蒙古,65,0,6,0,2020-02-14
32,Heilongjiang,黑龙江省,黑龙江,418,0,37,11,2020-02-14
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-14
