,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-02-22
1,Fujian,福建省,福建,293,0,149,1,2020-02-22
2,Liaoning,辽宁省,辽宁,121,0,61,1,2020-02-22
3,Sichuan,四川省,四川,525,0,231,3,2020-02-22
4,Jiangsu,江苏省,江苏,631,0,373,0,2020-02-22
5,Jiangxi,江西省,江西,934,0,489,1,2020-02-22
6,Shandong,山东省,山东,749,0,281,4,2020-02-22
7,Guangxi,广西壮族自治区,广西,246,0,97,2,2020-02-22
8,Ningxia,宁夏回族自治区,宁夏,71,0,48,0,2020-02-22
9,Macau,澳门,澳门,10,0,6,0,2020-02-22
10,Henan,河南省,河南,1267,0,736,19,2020-02-22
11,Shanghai,上海市,上海,334,0,211,2,2020-02-22
12,Beijing,北京市,北京,396,0,169,4,2020-02-22
13,Anhui,安徽省,安徽,988,0,539,6,2020-02-22
14,Taiwan,台湾,台湾,26,0,2,1,2020-02-22
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,24,1,2020-02-22
16,Hunan,湖南省,湖南,1011,0,661,4,2020-02-22
17,Jilin,吉林省,吉林,91,0,45,1,2020-02-22
18,Gansu,甘肃省,甘肃,91,0,76,2,2020-02-22
19,Guizhou,贵州省,贵州,146,0,77,2,2020-02-22
20,Chongqing,重庆市,重庆,572,0,316,6,2020-02-22
21,Yunnan,云南省,云南,174,0,96,2,2020-02-22
22,Shaanxi,陕西省,陕西,245,0,134,1,2020-02-22
23,Hong Kong,香港,香港,68,0,5,2,2020-02-22
24,Zhejiang,浙江省,浙江,1203,0,679,1,2020-02-22
25,Shanxi,山西省,山西,132,0,76,0,2020-02-22
26,Hubei,湖北省,湖北,62662,0,11881,2144,2020-02-22
27,Guangdong,广东省,广东,1333,0,690,5,2020-02-22
28,Tianjin,天津市,天津,132,0,62,3,2020-02-22
29,Hainan,海南省,海南,168,0,95,4,2020-02-22
30,Hebei,河北省,河北,308,0,184,5,2020-02-22
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,17,0,2020-02-22
32,Heilongjiang,黑龙江省,黑龙江,479,0,175,12,2020-02-22
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-22
