,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-02-25
1,Fujian,福建省,福建,293,0,183,1,2020-02-25
2,Liaoning,辽宁省,辽宁,121,0,80,1,2020-02-25
3,Sichuan,四川省,四川,527,0,276,3,2020-02-25
4,Jiangsu,江苏省,江苏,631,0,452,0,2020-02-25
5,Jiangxi,江西省,江西,934,0,645,1,2020-02-25
6,Shandong,山东省,山东,755,0,343,5,2020-02-25
7,Guangxi,广西壮族自治区,广西,251,0,112,2,2020-02-25
8,Ningxia,宁夏回族自治区,宁夏,71,0,58,0,2020-02-25
9,Macau,澳门,澳门,10,0,6,0,2020-02-25
10,Henan,河南省,河南,1271,0,943,19,2020-02-25
11,Shanghai,上海市,上海,335,0,261,3,2020-02-25
12,Beijing,北京市,北京,399,0,198,4,2020-02-25
13,Anhui,安徽省,安徽,989,0,663,6,2020-02-25
14,Taiwan,台湾,台湾,30,0,5,1,2020-02-25
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,30,2,2020-02-25
16,Hunan,湖南省,湖南,1016,0,731,4,2020-02-25
17,Jilin,吉林省,吉林,93,0,60,1,2020-02-25
18,Gansu,甘肃省,甘肃,91,0,80,2,2020-02-25
19,Guizhou,贵州省,贵州,146,0,102,2,2020-02-25
20,Chongqing,重庆市,重庆,575,0,335,6,2020-02-25
21,Yunnan,云南省,云南,174,0,124,2,2020-02-25
22,Shaanxi,陕西省,陕西,245,0,173,1,2020-02-25
23,Hong Kong,香港,香港,79,0,19,2,2020-02-25
24,Zhejiang,浙江省,浙江,1205,0,782,1,2020-02-25
25,Shanxi,山西省,山西,133,0,94,0,2020-02-25
26,Hubei,湖北省,湖北,64287,0,16748,2495,2020-02-25
27,Guangdong,广东省,广东,1345,0,786,6,2020-02-25
28,Tianjin,天津市,天津,135,0,87,3,2020-02-25
29,Hainan,海南省,海南,168,0,116,5,2020-02-25
30,Hebei,河北省,河北,311,0,234,6,2020-02-25
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,34,0,2020-02-25
32,Heilongjiang,黑龙江省,黑龙江,480,0,227,12,2020-02-25
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-25
