,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,1,0,0,0,2020-01-26
1,Fujian,福建省,福建,18,0,0,0,2020-01-26
2,Liaoning,辽宁省,辽宁,17,0,0,0,2020-01-26
3,Sichuan,四川省,四川,28,0,1,0,2020-01-26
4,Jiangsu,江苏省,江苏,18,0,1,0,2020-01-26
5,Jiangxi,江西省,江西,36,0,0,0,2020-01-26
6,Shandong,山东省,山东,39,0,0,0,2020-01-26
7,Guangxi,广西壮族自治区,广西,33,0,0,0,2020-01-26
8,Ningxia,宁夏回族自治区,宁夏,3,0,0,0,2020-01-26
9,Macau,澳门,澳门,2,0,0,0,2020-01-26
10,Henan,河南省,河南,83,0,0,1,2020-01-26
11,Shanghai,上海市,上海,40,0,0,0,2020-01-26
12,Beijing,北京市,北京,51,0,2,0,2020-01-26
13,Anhui,安徽省,安徽,39,0,0,0,2020-01-26
14,Taiwan,台湾,台湾,3,0,0,0,2020-01-26
15,Xinjiang,新疆维吾尔自治区,新疆,3,0,0,0,2020-01-26
16,Hunan,湖南省,湖南,43,0,0,0,2020-01-26
17,Jilin,吉林省,吉林,4,0,0,0,2020-01-26
18,Gansu,甘肃省,甘肃,4,0,0,0,2020-01-26
19,Guizhou,贵州省,贵州,4,0,0,0,2020-01-26
20,Chongqing,重庆市,重庆,57,0,0,0,2020-01-26
21,Yunnan,云南省,云南,11,0,0,0,2020-01-26
22,Shaanxi,陕西省,陕西,15,0,0,0,2020-01-26
23,Hong Kong,香港,香港,5,0,0,0,2020-01-26
24,Zhejiang,浙江省,浙江,62,0,1,0,2020-01-26
25,Shanxi,山西省,山西,9,0,0,0,2020-01-26
26,Hubei,湖北省,湖北,1053,0,42,52,2020-01-26
27,Guangdong,广东省,广东,78,0,2,0,2020-01-26
28,Tianjin,天津市,天津,10,0,0,0,2020-01-26
29,Hainan,海南省,海南,19,0,0,0,2020-01-26
30,Hebei,河北省,河北,8,0,0,1,2020-01-26
31,Inner Mongolia,内蒙古自治区,内蒙古,7,0,0,0,2020-01-26
32,Heilongjiang,黑龙江省,黑龙江,9,0,0,1,2020-01-26
