,Unnamed: 0,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,0,Qinghai,青海省,青海,18,0,18,0,2020-02-25
1,1,Fujian,福建省,福建,293,0,183,1,2020-02-25
2,2,Liaoning,辽宁省,辽宁,121,0,80,1,2020-02-25
3,3,Sichuan,四川省,四川,527,0,276,3,2020-02-25
4,4,Jiangsu,江苏省,江苏,631,0,452,0,2020-02-25
5,5,Jiangxi,江西省,江西,934,0,645,1,2020-02-25
6,6,Shandong,山东省,山东,755,0,343,5,2020-02-25
7,7,Guangxi,广西壮族自治区,广西,251,0,112,2,2020-02-25
8,8,Ningxia,宁夏回族自治区,宁夏,71,0,58,0,2020-02-25
9,9,Macau,澳门,澳门,10,0,6,0,2020-02-25
10,10,Henan,河南省,河南,1271,0,943,19,2020-02-25
11,11,Shanghai,上海市,上海,335,0,261,3,2020-02-25
12,12,Beijing,北京市,北京,399,0,198,4,2020-02-25
13,13,Anhui,安徽省,安徽,989,0,663,6,2020-02-25
14,14,Taiwan,台湾,台湾,30,0,5,1,2020-02-25
15,15,Xinjiang,新疆维吾尔自治区,新疆,76,0,30,2,2020-02-25
16,16,Hunan,湖南省,湖南,1016,0,731,4,2020-02-25
17,17,Jilin,吉林省,吉林,93,0,60,1,2020-02-25
18,18,Gansu,甘肃省,甘肃,91,0,80,2,2020-02-25
19,19,Guizhou,贵州省,贵州,146,0,102,2,2020-02-25
20,20,Chongqing,重庆市,重庆,575,0,335,6,2020-02-25
21,21,Yunnan,云南省,云南,174,0,124,2,2020-02-25
22,22,Shaanxi,陕西省,陕西,245,0,173,1,2020-02-25
23,23,Hong Kong,香港,香港,79,0,19,2,2020-02-25
24,24,Zhejiang,浙江省,浙江,1205,0,782,1,2020-02-25
25,25,Shanxi,山西省,山西,133,0,94,0,2020-02-25
26,26,Hubei,湖北省,湖北,64287,0,16748,2495,2020-02-25
27,27,Guangdong,广东省,广东,1345,0,786,6,2020-02-25
28,28,Tianjin,天津市,天津,135,0,87,3,2020-02-25
29,29,Hainan,海南省,海南,168,0,116,5,2020-02-25
30,30,Hebei,河北省,河北,311,0,234,6,2020-02-25
31,31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,34,0,2020-02-25
32,32,Heilongjiang,黑龙江省,黑龙江,480,0,227,12,2020-02-25
33,33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-25
0,0,Qinghai,青海省,青海,18,0,18,0,2020-02-26
1,1,Fujian,福建省,福建,294,0,218,1,2020-02-26
2,2,Liaoning,辽宁省,辽宁,121,0,88,1,2020-02-26
3,3,Sichuan,四川省,四川,531,0,307,3,2020-02-26
4,4,Jiangsu,江苏省,江苏,631,0,478,0,2020-02-26
5,5,Jiangxi,江西省,江西,934,0,719,1,2020-02-26
6,6,Shandong,山东省,山东,756,0,375,6,2020-02-26
7,7,Guangxi,广西壮族自治区,广西,252,0,144,2,2020-02-26
8,8,Ningxia,宁夏回族自治区,宁夏,71,0,65,0,2020-02-26
9,9,Macau,澳门,澳门,10,0,7,0,2020-02-26
10,10,Henan,河南省,河南,1271,0,1033,19,2020-02-26
11,11,Shanghai,上海市,上海,336,0,272,3,2020-02-26
12,12,Beijing,北京市,北京,400,0,235,4,2020-02-26
13,13,Anhui,安徽省,安徽,989,0,744,6,2020-02-26
14,14,Taiwan,台湾,台湾,32,0,5,1,2020-02-26
15,15,Xinjiang,新疆维吾尔自治区,新疆,76,0,30,2,2020-02-26
16,16,Hunan,湖南省,湖南,1016,0,783,4,2020-02-26
17,17,Jilin,吉林省,吉林,93,0,63,1,2020-02-26
18,18,Gansu,甘肃省,甘肃,91,0,80,2,2020-02-26
19,19,Guizhou,贵州省,贵州,146,0,104,2,2020-02-26
20,20,Chongqing,重庆市,重庆,576,0,373,6,2020-02-26
21,21,Yunnan,云南省,云南,174,0,144,2,2020-02-26
22,22,Shaanxi,陕西省,陕西,245,0,189,1,2020-02-26
23,23,Hong Kong,香港,香港,85,0,18,2,2020-02-26
24,24,Zhejiang,浙江省,浙江,1205,0,867,1,2020-02-26
25,25,Shanxi,山西省,山西,133,0,102,0,2020-02-26
26,26,Hubei,湖北省,湖北,65187,0,20951,2615,2020-02-26
27,27,Guangdong,广东省,广东,1347,0,851,7,2020-02-26
28,28,Tianjin,天津市,天津,135,0,91,3,2020-02-26
29,29,Hainan,海南省,海南,168,0,127,5,2020-02-26
30,30,Hebei,河北省,河北,312,0,261,6,2020-02-26
31,31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,37,0,2020-02-26
32,32,Heilongjiang,黑龙江省,黑龙江,480,0,249,12,2020-02-26
33,33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-26
0,0,Qinghai,青海省,青海,18,0,18,0,2020-02-27
1,1,Fujian,福建省,福建,296,0,228,1,2020-02-27
2,2,Liaoning,辽宁省,辽宁,121,0,92,1,2020-02-27
3,3,Sichuan,四川省,四川,534,0,321,3,2020-02-27
4,4,Jiangsu,江苏省,江苏,631,0,496,0,2020-02-27
5,5,Jiangxi,江西省,江西,934,0,754,1,2020-02-27
6,6,Shandong,山东省,山东,756,0,384,6,2020-02-27
7,7,Guangxi,广西壮族自治区,广西,252,0,161,2,2020-02-27
8,8,Ningxia,宁夏回族自治区,宁夏,72,0,68,0,2020-02-27
9,9,Macau,澳门,澳门,10,0,7,0,2020-02-27
10,10,Henan,河南省,河南,1272,0,1062,20,2020-02-27
11,11,Shanghai,上海市,上海,337,0,276,3,2020-02-27
12,12,Beijing,北京市,北京,410,0,248,5,2020-02-27
13,13,Anhui,安徽省,安徽,989,0,775,6,2020-02-27
14,14,Taiwan,台湾,台湾,32,0,5,1,2020-02-27
15,15,Xinjiang,新疆维吾尔自治区,新疆,76,0,34,2,2020-02-27
16,16,Hunan,湖南省,湖南,1017,0,804,4,2020-02-27
17,17,Jilin,吉林省,吉林,93,0,65,1,2020-02-27
18,18,Gansu,甘肃省,甘肃,91,0,81,2,2020-02-27
19,19,Guizhou,贵州省,贵州,146,0,112,2,2020-02-27
20,20,Chongqing,重庆市,重庆,576,0,384,6,2020-02-27
21,21,Yunnan,云南省,云南,174,0,150,2,2020-02-27
22,22,Shaanxi,陕西省,陕西,245,0,195,1,2020-02-27
23,23,Hong Kong,香港,香港,92,0,24,2,2020-02-27
24,24,Zhejiang,浙江省,浙江,1205,0,932,1,2020-02-27
25,25,Shanxi,山西省,山西,133,0,104,0,2020-02-27
26,26,Hubei,湖北省,湖北,65596,0,23383,2641,2020-02-27
27,27,Guangdong,广东省,广东,1347,0,890,7,2020-02-27
28,28,Tianjin,天津市,天津,135,0,96,3,2020-02-27
29,29,Hainan,海南省,海南,168,0,131,5,2020-02-27
30,30,Hebei,河北省,河北,317,0,274,6,2020-02-27
31,31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,39,0,2020-02-27
32,32,Heilongjiang,黑龙江省,黑龙江,480,0,270,13,2020-02-27
33,33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-27
0,0,Qinghai,青海省,青海,18,0,18,0,2020-02-28
1,1,Fujian,福建省,福建,296,0,232,1,2020-02-28
2,2,Liaoning,辽宁省,辽宁,121,0,93,1,2020-02-28
3,3,Sichuan,四川省,四川,538,0,327,3,2020-02-28
4,4,Jiangsu,江苏省,江苏,631,0,514,0,2020-02-28
5,5,Jiangxi,江西省,江西,935,0,790,1,2020-02-28
6,6,Shandong,山东省,山东,756,0,396,6,2020-02-28
7,7,Guangxi,广西壮族自治区,广西,252,0,166,2,2020-02-28
8,8,Ningxia,宁夏回族自治区,宁夏,72,0,68,0,2020-02-28
9,9,Macau,澳门,澳门,10,0,8,0,2020-02-28
10,10,Henan,河南省,河南,1272,0,1103,20,2020-02-28
