,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,3,0,2020-02-11
1,Fujian,福建省,福建,267,0,39,0,2020-02-11
2,Liaoning,辽宁省,辽宁,108,0,17,0,2020-02-11
3,Sichuan,四川省,四川,417,0,82,1,2020-02-11
4,Jiangsu,江苏省,江苏,515,0,91,0,2020-02-11
5,Jiangxi,江西省,江西,804,0,127,1,2020-02-11
6,Shandong,山东省,山东,487,0,76,1,2020-02-11
7,Guangxi,广西壮族自治区,广西,215,0,30,1,2020-02-11
8,Ningxia,宁夏回族自治区,宁夏,53,0,14,0,2020-02-11
9,Macau,澳门,澳门,10,0,1,0,2020-02-11
10,Henan,河南省,河南,1105,0,205,7,2020-02-11
11,Shanghai,上海市,上海,303,0,52,1,2020-02-11
12,Beijing,北京市,北京,342,0,48,3,2020-02-11
13,Anhui,安徽省,安徽,860,0,100,4,2020-02-11
14,Taiwan,台湾,台湾,18,0,1,0,2020-02-11
15,Xinjiang,新疆维吾尔自治区,新疆,55,0,0,0,2020-02-11
16,Hunan,湖南省,湖南,912,0,222,1,2020-02-11
17,Jilin,吉林省,吉林,81,0,13,1,2020-02-11
18,Gansu,甘肃省,甘肃,86,0,21,2,2020-02-11
19,Guizhou,贵州省,贵州,118,0,10,1,2020-02-11
20,Chongqing,重庆市,重庆,486,0,66,2,2020-02-11
21,Yunnan,云南省,云南,149,0,19,0,2020-02-11
22,Shaanxi,陕西省,陕西,219,0,32,0,2020-02-11
23,Hong Kong,香港,香港,42,0,0,1,2020-02-11
24,Zhejiang,浙江省,浙江,1117,0,254,0,2020-02-11
25,Shanxi,山西省,山西,122,0,28,0,2020-02-11
26,Hubei,湖北省,湖北,31728,0,2222,974,2020-02-11
27,Guangdong,广东省,广东,1177,0,185,1,2020-02-11
28,Tianjin,天津市,天津,104,0,8,2,2020-02-11
29,Hainan,海南省,海南,142,0,20,3,2020-02-11
30,Hebei,河北省,河北,239,0,42,2,2020-02-11
31,Inner Mongolia,内蒙古自治区,内蒙古,58,0,5,0,2020-02-11
32,Heilongjiang,黑龙江省,黑龙江,360,0,27,8,2020-02-11
33,Tibet,西藏自治区,西藏,1,0,0,0,2020-02-11
